编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
493,是,88909553,726476,1024659,"手机充电线/数据线,室内绿植/花卉,抽纸/卷纸,T恤/裙子,桌面收纳,无线蓝牙耳机,手机贴膜,平板电脑保护套/壳,运动鞋,洗衣液/洗衣凝珠,贴片面膜,充电宝/移动电源,智能手表/手环,平板电脑,洗面奶/洁面乳,奶茶/咖啡,薯片/膨化食品",近12个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"磁吸不可拆分保护套,带笔槽保护套,透明/半透明保护壳","防摔防磕/保护性强,材质手感好,不易沾指纹/不易显脏,轻薄便携,品牌可信/品质稳定","轻薄便携,防摔防磕/保护性强,材质手感好,品牌可信/品质稳定,不易沾指纹/不易显脏",150-199元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,保护性较好,外观看起来简洁",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [一般];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,可能会购买,可能会购买,肯定会购买,-,-,外观简单、笔槽便利、配色较多,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,说不清,-,-,-,不喜欢光栅背板的设计，喜欢简单一点的,28.8s,升级光面款,喜欢简单一点的设计,经常会,女,31-35岁,企业职员,三线,偏低,"准备结婚期,已有房,已有车",云南省,昆明市
494,是,88909713,726476,1024659,"手机壳,运动鞋,抽纸/卷纸,智能手表/手环,充电宝/移动电源,洗面奶/洁面乳,手机充电线/数据线,平板电脑",近12个月内,80–99元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,带笔槽保护套,键盘保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,轻薄便携,价格合适/性价比高","防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,价格合适/性价比高,材质手感好,不易沾指纹/不易显脏,触控笔收纳和拿取方便",80-99元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能会购买,-,-,价格,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,价格,11.91s,升级光面款,价格，外观，防摔,有时会,男,31-35岁,企业职员,一线,偏低,单身,北京,北京市
495,是,88909733,726476,1024659,"平板电脑保护套/壳,薯片/膨化食品,运动鞋,智能手表/手环,奶茶/咖啡,洗面奶/洁面乳,T恤/裙子,手机贴膜,洗衣液/洗衣凝珠,平板电脑,手机充电线/数据线,无线蓝牙耳机,手机壳,充电宝/移动电源,贴片面膜,抽纸/卷纸",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,带笔槽保护套","触控笔收纳和拿取方便,轻薄便携,品牌可信/品质稳定","触控笔收纳和拿取方便,品牌可信/品质稳定,轻薄便携",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,可能会购买,肯定会购买,肯定会购买,-,-,具有实用性，适合我的日常需求，可以买单,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,功能性不够强，可以考虑,10.78s,光栅款,相对而言，更符合我的审美,有时会,女,31-35岁,企业职员,三线,低,"单身,育婴期,已有车",江苏省,扬州市
496,是,88909777,726476,1024659,"抽纸/卷纸,薯片/膨化食品,平板电脑保护套/壳,洗衣液/洗衣凝珠,洗面奶/洁面乳,手机壳,桌面收纳,充电宝/移动电源,奶茶/咖啡,运动鞋,无线蓝牙耳机,手机贴膜,室内绿植/花卉,T恤/裙子,平板电脑,鼠标/机械键盘,贴片面膜,手机充电线/数据线,智能手表/手环",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,磁吸不可拆分保护套,键盘保护套","防摔防磕/保护性强,支架稳定/角度好用,材质手感好","防摔防磕/保护性强,材质手感好,支架稳定/角度好用",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"价格合适,磁吸拆分方便,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,有所升级肯定会为之加价，值得,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,指纹弄在屏幕上脏脏的,14.86s,升级光面款,更喜欢那个质感,经常会,女,25-30岁,自由职业/个体经营,二线,偏低,"已婚,已育,已有车",湖南省,长沙市
497,是,88909823,726476,1024659,"洗衣液/洗衣凝珠,无线蓝牙耳机,平板电脑,洗面奶/洁面乳,运动鞋,手机壳",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,大专,磁吸不可拆分保护套,"支架稳定/角度好用,防摔防磕/保护性强,轻薄便携,颜色选择丰富,不易沾指纹/不易显脏","防摔防磕/保护性强,支架稳定/角度好用,不易沾指纹/不易显脏,颜色选择丰富,轻薄便携",50-79元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"支撑看剧/学习/办公,品牌/品质感较好,磁吸拆分方便,可旋转使用",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付5元以内,可能会购买,可能会购买,可能会购买,-,-,我觉得很方便,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能会购买,可能不会购买,-,-,-,我觉得不大喜欢,9.29s,光栅款,很好看,有时会,女,25-30岁,其他,五线,偏低,准备结婚期,江西省,赣州市
498,是,88909830,726476,1024659,"手机壳,洗面奶/洁面乳,智能手表/手环,洗衣液/洗衣凝珠,手机充电线/数据线,平板电脑保护套/壳,无线蓝牙耳机,鼠标/机械键盘,奶茶/咖啡,薯片/膨化食品,T恤/裙子,充电宝/移动电源,室内绿植/花卉,桌面收纳,手机贴膜,贴片面膜,抽纸/卷纸,运动鞋,平板电脑",近12个月内,100–119元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,以上均无,均未参加过,硕士及以上,带笔槽保护套,"支架稳定/角度好用,触控笔收纳和拿取方便,防摔防磕/保护性强,不易沾指纹/不易显脏,价格合适/性价比高,材质手感好,与平板搭配协调","触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,支架稳定/角度好用,防摔防磕/保护性强,与平板搭配协调,价格合适/性价比高",100-119元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],磁吸拆分方便,我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [一般],愿意多付11-15元,可能会购买,可能会购买,可能不会购买,-,-,我觉得加价在20以内我可以接受，再高就没必要了。,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [一般],愿意多付6-10元,说不清,-,-,可能会购买,-,我觉得和光滑的没差，没有特别喜欢,19.85s,升级光面款,升级光面款更加清爽，符合我的审美吧应该说,有时会,女,31-35岁,企业职员,三线,中等,未知,江苏省,镇江市
499,是,88909836,726476,1024659,"抽纸/卷纸,智能手表/手环,鼠标/机械键盘,室内绿植/花卉,无线蓝牙耳机,手机壳,桌面收纳,平板电脑保护套/壳,手机贴膜,薯片/膨化食品,手机充电线/数据线,T恤/裙子,奶茶/咖啡,洗面奶/洁面乳,平板电脑",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套","防摔防磕/保护性强,支架稳定/角度好用,材质手感好,不易沾指纹/不易显脏,颜色选择丰富,品牌可信/品质稳定,外观好看/有设计感,轻薄便携,与平板搭配协调","防摔防磕/保护性强,颜色选择丰富,轻薄便携,与平板搭配协调,品牌可信/品质稳定,外观好看/有设计感,材质手感好,支架稳定/角度好用,不易沾指纹/不易显脏",100-119元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能不会购买,-,-,实用安全,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,可能会购买,说不清,-,-,磨砂质感，好看,8.9s,光栅款,磨砂质感,经常会,女,25-30岁,自由职业/个体经营,四线,低,未知,河北省,沧州市
500,是,88910008,726476,1024659,"洗衣液/洗衣凝珠,充电宝/移动电源,鼠标/机械键盘,桌面收纳,智能手表/手环,薯片/膨化食品,平板电脑保护套/壳,洗面奶/洁面乳,抽纸/卷纸,无线蓝牙耳机,T恤/裙子,运动鞋,手机壳,奶茶/咖啡,室内绿植/花卉,平板电脑,贴片面膜,手机贴膜,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,旋转可拆分磁吸保护套,"防摔防磕/保护性强,支架稳定/角度好用,材质手感好,不易沾指纹/不易显脏,轻薄便携,品牌可信/品质稳定,与平板搭配协调","防摔防磕/保护性强,支架稳定/角度好用,不易沾指纹/不易显脏,轻薄便携,品牌可信/品质稳定,与平板搭配协调,材质手感好",100-119元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,外观看起来简洁,可旋转使用",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,说不清,-,-,满足我的需要，符合审美,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,说不清,-,-,-,不粘指纹,8.79s,光栅款,不留指纹,有时会,女,25-30岁,企业职员,一线,低,"已婚,已有车",广东省,广州市
501,是,88910019,726476,1024659,"贴片面膜,洗衣液/洗衣凝珠,洗面奶/洁面乳,无线蓝牙耳机,手机贴膜,薯片/膨化食品,抽纸/卷纸,充电宝/移动电源,桌面收纳,手机壳,室内绿植/花卉,鼠标/机械键盘,平板电脑保护套/壳,T恤/裙子,奶茶/咖啡,平板电脑,智能手表/手环,运动鞋,手机充电线/数据线",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,材质手感好,轻薄便携,颜色选择丰富,外观好看/有设计感,与平板搭配协调,耐用不易坏","防摔防磕/保护性强,支架稳定/角度好用,外观好看/有设计感,材质手感好,耐用不易坏,与平板搭配协调,轻薄便携,颜色选择丰富",50元以下,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,支撑看剧/学习/办公,品牌/品质感较好,保护性较好,可旋转使用",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付6-10元,可能会购买,可能会购买,可能不会购买,-,-,防护效果还是前面几款性价比很高,我已认真阅读,购买意愿: [可能不会购买],光栅纹理背板的视觉效果: [不太吸引];相比普通光面背板更不易沾指纹: [不太吸引];微磨砂质感: [不太吸引];整体看起来更特别/更有设计感: [不太吸引],不愿意多付钱,可能不会购买,-,-,可能会购买,-,外观不是很喜欢,15.15s,升级光面款,外观简洁大方，防护很好，性价比很高,经常会,女,31-35岁,专业人士,三线,偏低,未知,浙江省,温州市
502,是,88910049,726476,1024659,"平板电脑,洗面奶/洁面乳,手机贴膜,充电宝/移动电源,T恤/裙子,桌面收纳,抽纸/卷纸,无线蓝牙耳机,薯片/膨化食品,平板电脑保护套/壳,智能手表/手环,洗衣液/洗衣凝珠,手机壳,手机充电线/数据线,鼠标/机械键盘,奶茶/咖啡,贴片面膜,运动鞋,室内绿植/花卉",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"带笔槽保护套,透明/半透明保护壳,普通翻盖保护套,磁吸不可拆分保护套","防摔防磕/保护性强,触控笔收纳和拿取方便,不易沾指纹/不易显脏,材质手感好,外观好看/有设计感,颜色选择丰富,品牌可信/品质稳定,价格合适/性价比高,耐用不易坏,与平板搭配协调,轻薄便携","防摔防磕/保护性强,轻薄便携,外观好看/有设计感,耐用不易坏,触控笔收纳和拿取方便,价格合适/性价比高,与平板搭配协调,颜色选择丰富,材质手感好,不易沾指纹/不易显脏,品牌可信/品质稳定",50-79元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"外观看起来简洁,品牌/品质感较好,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,说不清,-,-,"防护保护性真的能提高的话，愿意多付，最好有个对比视频，实验视频。
笔槽设计没有什么含金量，简单能放笔就行",我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,说不清,-,-,更喜欢细线条的，线条再细一点可能更高颜值,38.51s,升级光面款,光栅款线条不是很符合自己的审美，没必要加价购买,经常会,女,31-35岁,自由职业/个体经营,五线,偏低,"已婚,育婴期,已育",陕西省,咸阳市
